,0
carbon dioxide,1.2214498309105528e-14
methane,1.273752654389074e-12
nitrous oxide,2.9986514633453632e-12
isoprene,1.5083795943930417e-11
ammonia,8.372504297879344e-14
sulfur dioxide,3.338406274850521e-14
acetaldehyde,9.376891833053496e-12
trichloroethylene,9.056671699526482e-13
methylethylketone,2.211953820222087e-12
black carbon,9.224390949959156e-10
benzene,1.0244973894351978e-12
tropospheric ozone,1.4873810129567015e-12
ethanol,2.829357949805466e-12
acetone,1.0000463592568915e-12
carbon monoxide,1.2639587855901533e-13
HFC-161,6.775470530137906e-13
HFC-152,1.7280131044487565e-12
HCFC-151,7.699745859736512e-13
HCFC-141a,1.0386776385888333e-12
HCFC-131,1.5761363173834632e-12
methylbromide,1.014229183488418e-13
HCFC-31,2.1435552054705815e-12
